id,name,image_url,brand,category,product_type,price,description,tryon_ready
1,Indigo Straight Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/1.jpg,StyleSprint,jeans,Straight Fit Jeans,49.99,"Curated straight fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
2,Stonewash Slim Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/7.jpg,StyleSprint,jeans,Slim Fit Jeans,59.99,"Curated slim fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
3,Charcoal Tapered Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/13.jpg,StyleSprint,jeans,Relaxed Denim Jeans,54.99,"Curated relaxed denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
4,Vintage Blue Relaxed Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/19.jpg,StyleSprint,jeans,Tapered Jeans,74.99,"Curated tapered jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
5,Black Everyday Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/25.jpg,StyleSprint,jeans,Washed Blue Jeans,67.99,"Curated washed blue jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
6,Light Wash Weekend Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/31.jpg,StyleSprint,jeans,Black Denim Jeans,46.99,"Curated black denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
7,Classic Mid-Rise Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/37.jpg,StyleSprint,jeans,Straight Fit Jeans,49.99,"Curated straight fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
8,Deep Blue Stretch Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/43.jpg,StyleSprint,jeans,Slim Fit Jeans,59.99,"Curated slim fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
9,Clean Cut Straight Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/49.jpg,StyleSprint,jeans,Relaxed Denim Jeans,54.99,"Curated relaxed denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
10,Faded Blue Slim Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/55.jpg,StyleSprint,jeans,Tapered Jeans,74.99,"Curated tapered jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
11,Urban Black Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/61.jpg,StyleSprint,jeans,Washed Blue Jeans,67.99,"Curated washed blue jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
12,Soft Wash Denim Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/67.jpg,StyleSprint,jeans,Black Denim Jeans,46.99,"Curated black denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
13,Dark Rinse Tapered Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/73.jpg,StyleSprint,jeans,Straight Fit Jeans,49.99,"Curated straight fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
14,Heritage Blue Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/79.jpg,StyleSprint,jeans,Slim Fit Jeans,59.99,"Curated slim fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
15,Modern Fit Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/85.jpg,StyleSprint,jeans,Relaxed Denim Jeans,54.99,"Curated relaxed denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
16,Washed Grey Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/91.jpg,StyleSprint,jeans,Tapered Jeans,74.99,"Curated tapered jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
17,Everyday Comfort Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/97.jpg,StyleSprint,jeans,Washed Blue Jeans,67.99,"Curated washed blue jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
18,Premium Indigo Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/103.jpg,StyleSprint,jeans,Black Denim Jeans,46.99,"Curated black denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
